Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Solder iron kit","for soldering the pcb components together.",1,9.80,"https://www.amazon.in/Party-Adjustable-Temperature-Soldering-Electronics/dp/B0DJV6MZFV/ref=sr_1_42?crid=2IOXY8144JO80&dib=eyJ2IjoiMSJ9.vK9PtWNc8tBDUBgzq1IWFv47KXwC1Cl8m62YF0tSfuzcPGPDPsVRGCE1fZsrLyW1GhknRhovBJ1GAJS-nYGz7GnoonJSfn4AR0K5UXK-ClQXsQPDCwIejzLn9QdgpnX0wzKIbDT-7JQBFgz9LxqFp0eGjUGRKLOxTxs94LnwBpoSLABq-19O3ZLRxPcBYLQnT1Xitm7RAk5G_7T4__x7ucIWZO-MxFI8-NUS3q38RNxGNx1zLZyfGWcGnO3cFienrzoj9gWld2lny3ke4dInKfZLQUh1Bhj4vNs_B33v7DM.wf7PiKHsAmqyaGZgdSjifYG2Uh6lluIjhi567y_YCVI&dib_tag=se&keywords=soldering%2Biron&qid=1776537003&sprefix=soldering%2Biro%2Caps%2C390&sr=8-42&th=1","Amazon"
"pcb","for avoiding wires",,8.71,"https://zbotic.in/pcb-manufacturing/","zbotic"
"Mosfet","for controlling the light through esp32",5,2.80,"https://robu.in/product/irlz44npbf-hxy-mosfet-60v-60a-120w-12m%cf%8910v25a-4v-1-n-channel-to-220-mosfets-rohs/","robu.in"
"esp32 xiao","for controlling the light",1,10.18,"https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?variant=47775391645920&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopmVja5bjne01FxR2lVpsVSXhTN506Ih0kwhaEgeZ5shx1XDP4dpdo","robocraze"
"3d printed parts","for the lamp's structure",1,5.00,"https://printlegion.hackclub.com/","printing legion"
"Led strips","For light. ",1,2.14,"https://www.amazon.in/CBK-Flexible-Multicolor-Background-Controller/dp/B0F8BVLXBJ/ref=asc_df_B0F8BVLXBJ?mcid=7c4efa3faa1732b0b147e89410446875&tag=googleshopdes-21&linkCode=df0&hvadid=710162513942&hvpos=&hvnetw=g&hvrand=351583670837655000&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062227&hvtargid=pla-2439875488775&hvocijid=351583670837655000-B0F8BVLXBJ-&hvexpln=0&gad_source=1&th=1","amazon"
